power, vel
-0.58, -201.944
-0.58, -211.221
-0.58, -204.703
-0.58, -212.128
-0.58, -206.43
-0.58, -211.372
-0.58, -204.845
-0.58, -210.937
-0.58, -206.718
-0.58, -211.994
-0.58, -206.526
-0.58, -207.152
-0.58, -210.571
-0.58, -207.976
-0.58, -205.128
-0.58, -207.943
-0.58, -207.992
-0.58, -210.571
-0.58, -210.954
-0.58, -207.846
-0.58, -213.915
-0.58, -207.007
-0.58, -210.754
-0.58, -209.743
-0.58, -208.823
-0.58, -208.203
-0.58, -215.523
-0.58, -205.634
-0.58, -203.687
-0.58, -205.223
-0.58, -210.106
-0.58, -202.974
-0.58, -212.891
-0.58, -206.766
-0.58, -210.954
-0.58, -207.474
-0.58, -210.904
-0.58, -210.139
-0.58, -210.322
-0.58, -205.27
-0.58, -215.245
-0.56, -204.014
-0.56, -211.021
-0.56, -207.394
-0.56, -202.727
-0.56, -200.788
-0.56, -203.578
-0.56, -199.915
-0.56, -203.811
-0.56, -196.064
-0.56, -199.109
-0.56, -211.892
-0.56, -201.577
-0.56, -201.258
-0.56, -201.273
-0.56, -196.787
-0.56, -197.268
-0.56, -200.894
-0.56, -202.388
-0.56, -198.162
-0.56, -200.155
-0.56, -197.912
-0.56, -200.909
-0.56, -198.605
-0.56, -197.795
-0.56, -204.342
-0.56, -203.252
-0.56, -200.667
-0.56, -197.326
-0.56, -200.185
-0.56, -199.9
-0.56, -203.718
-0.56, -196.44
-0.56, -201.243
-0.56, -201.562
-0.56, -194.789
-0.56, -202.081
-0.56, -205.207
-0.56, -200.622
-0.56, -196.151
-0.56, -206.366
-0.56, -202.496
-0.56, -206.558
-0.56, -202.281
-0.56, -198.886
-0.56, -201.608
-0.56, -199.975
-0.56, -198.738
-0.56, -197.414
-0.56, -198.99
-0.56, -194.889
-0.56, -204.939
-0.54, -200.697
-0.54, -198.28
-0.54, -201.73
-0.54, -193.251
-0.54, -195.518
-0.54, -193.363
-0.54, -193.953
-0.54, -193.447
-0.54, -195.103
-0.54, -191.214
-0.54, -191.227
-0.54, -187.622
-0.54, -194.775
-0.54, -191.461
-0.54, -186.506
-0.54, -195.189
-0.54, -189.974
-0.54, -200.697
-0.54, -193.181
-0.54, -187.608
-0.54, -193.251
-0.54, -188.924
-0.54, -195.805
-0.54, -195.949
-0.54, -191.159
-0.54, -188.39
-0.54, -192.484
-0.54, -194.718
-0.54, -190.667
-0.54, -186.337
-0.54, -193.531
-0.54, -192.081
-0.54, -189.785
-0.54, -194.548
-0.54, -192.234
-0.54, -191.2
-0.54, -192.734
-0.54, -194.818
-0.54, -196.468
-0.54, -194.704
-0.54, -190.422
-0.54, -193.069
-0.54, -186.259
-0.54, -195.518
-0.54, -185.623
-0.54, -189.555
-0.54, -192.012
-0.54, -191.2
-0.54, -196.758
-0.54, -190.872
-0.54, -190.517
-0.52, -193.714
-0.52, -194.932
-0.52, -192.137
-0.52, -187.2
-0.52, -190.694
-0.52, -184.022
-0.52, -184.022
-0.52, -184.851
-0.52, -182.999
-0.52, -180.241
-0.52, -185.108
-0.52, -183.693
-0.52, -182.448
-0.52, -185.999
-0.52, -187.148
-0.52, -184.954
-0.52, -189.906
-0.52, -190.503
-0.52, -187.384
-0.52, -183.959
-0.52, -180.754
-0.52, -180.107
-0.52, -184.736
-0.52, -181.69
-0.52, -188.098
-0.52, -181.283
-0.52, -184.137
-0.52, -184.048
-0.52, -184.315
-0.52, -183.339
-0.52, -192.192
-0.52, -190.708
-0.52, -189.866
-0.52, -182.523
-0.52, -180.705
-0.52, -184.647
-0.52, -183.15
-0.52, -179.888
-0.52, -189.219
-0.52, -178.683
-0.52, -183.705
-0.52, -183.478
-0.52, -177.588
-0.52, -181.542
-0.52, -187.767
-0.52, -191.31
-0.52, -183.163
-0.52, -187.701
-0.52, -186.781
-0.52, -187.793
-0.52, -183.402
-0.5, -185.869
-0.5, -182.461
-0.5, -177.754
-0.5, -173.183
-0.5, -176.882
-0.5, -174.03
-0.5, -172.232
-0.5, -174.155
-0.5, -177.612
-0.5, -175.208
-0.5, -182.962
-0.5, -171.589
-0.5, -180.326
-0.5, -176.624
-0.5, -175.139
-0.5, -175.139
-0.5, -178.707
-0.5, -180.034
-0.5, -172.121
-0.5, -172.958
-0.5, -173.566
-0.5, -176.297
-0.5, -175.774
-0.5, -180.4
-0.5, -171.127
-0.5, -178.587
-0.5, -174.692
-0.5, -174.611
-0.5, -179.308
-0.5, -174.053
-0.5, -178.146
-0.5, -178.659
-0.5, -176.905
-0.5, -172.154
-0.5, -174.932
-0.5, -174.212
-0.5, -173.702
-0.5, -175.369
-0.5, -179.586
-0.5, -173.736
-0.5, -177.105
-0.5, -170.601
-0.5, -175.902
-0.5, -176.006
-0.5, -175.589
-0.5, -176.964
-0.5, -173.363
-0.5, -174.6
-0.5, -173.509
-0.5, -174.155
-0.5, -176.964
-0.48, -179.477
-0.48, -174.338
-0.48, -170.809
-0.48, -167.074
-0.48, -169.377
-0.48, -170.34
-0.48, -162.78
-0.48, -174.167
-0.48, -165.282
-0.48, -166.688
-0.48, -170.177
-0.48, -166.5
-0.48, -168.851
-0.48, -171.292
-0.48, -165.539
-0.48, -170.71
-0.48, -164.935
-0.48, -176.099
-0.48, -168.064
-0.48, -170.079
-0.48, -174.269
-0.48, -167.683
-0.48, -164.548
-0.48, -162.77
-0.48, -167.662
-0.48, -164.884
-0.48, -164.052
-0.48, -172.332
-0.48, -166.615
-0.48, -169.938
-0.48, -167.979
-0.48, -169.301
-0.48, -172.857
-0.48, -171.017
-0.48, -169.055
-0.48, -166.116
-0.48, -170.09
-0.48, -168.446
-0.48, -170.166
-0.48, -164.193
-0.48, -166.688
-0.48, -161.177
-0.48, -171.633
-0.48, -162.741
-0.48, -169.269
-0.48, -169.323
-0.48, -168.244
-0.48, -166.823
-0.48, -168.043
-0.48, -167.137
-0.48, -166.635
-0.46, -170.536
-0.46, -171.988
-0.46, -163.049
-0.46, -168.926
-0.46, -159.175
-0.46, -164.609
-0.46, -161.167
-0.46, -159.442
-0.46, -160.992
-0.46, -164.274
-0.46, -151.532
-0.46, -164.823
-0.46, -157.81
-0.46, -158.156
-0.46, -159.318
-0.46, -159.356
-0.46, -157.131
-0.46, -164.945
-0.46, -156.863
-0.46, -159.709
-0.46, -160.856
-0.46, -156.522
-0.46, -161.763
-0.46, -166.096
-0.46, -152.512
-0.46, -161.021
-0.46, -162.374
-0.46, -155.69
-0.46, -158.259
-0.46, -158.306
-0.46, -159.043
-0.46, -159.843
