power, vel
-0.72, -250.18
-0.72, -256.139
-0.72, -270.07
-0.72, -258.749
-0.72, -260.518
-0.72, -272.833
-0.72, -260.748
-0.72, -264.945
-0.72, -269.415
-0.72, -268.817
-0.72, -254.574
-0.72, -251.81
-0.72, -256.361
-0.72, -262.416
-0.7, -266.72
-0.7, -259.732
-0.7, -251.075
-0.7, -254.017
-0.7, -255.648
-0.7, -247.831
-0.7, -254.647
-0.7, -260.036
-0.7, -243.331
-0.7, -248.085
-0.7, -248.409
-0.7, -249.431
-0.7, -243.821
-0.7, -259.479
-0.7, -250.086
-0.7, -249.922
-0.7, -229.233
-0.7, -262.338
-0.7, -248.756
-0.7, -245.369
-0.7, -249.898
-0.7, -245.391
-0.7, -249.735
-0.7, -249.361
-0.7, -245.391
-0.7, -242.49
-0.7, -245.708
-0.7, -260.086
-0.7, -245.188
-0.7, -249.035
-0.7, -253.558
-0.7, -256.09
-0.7, -251.004
-0.7, -248.247
-0.7, -244.671
-0.7, -253.317
-0.7, -247.831
-0.7, -264.053
-0.7, -251.929
-0.7, -252.932
-0.7, -241.875
-0.7, -249.268
-0.7, -258.824
-0.7, -258.048
-0.7, -250.957
-0.7, -244.156
-0.7, -246.207
-0.7, -259.707
-0.7, -251.051
-0.7, -251.667
-0.7, -248.919
-0.68, -250.721
-0.68, -245.912
-0.68, -251.667
-0.68, -258.824
-0.68, -252.837
-0.68, -231.662
-0.68, -246.184
-0.68, -238.628
-0.68, -241.415
-0.68, -247.395
-0.68, -250.862
-0.68, -249.641
-0.68, -256.386
-0.68, -243.62
-0.68, -244.581
-0.68, -240.935
-0.68, -242.446
-0.68, -254.915
-0.68, -235.509
-0.68, -238.842
-0.68, -240.652
-0.68, -238.543
-0.68, -247.624
-0.68, -238.521
-0.68, -252.98
-0.68, -245.889
-0.68, -244.963
-0.68, -253.702
-0.68, -242.006
-0.68, -239.442
-0.68, -244.581
-0.68, -242.645
-0.68, -238.777
-0.68, -240.891
-0.68, -240.848
-0.68, -241.24
-0.68, -251.501
-0.68, -247.739
-0.68, -245.414
-0.68, -246.434
-0.68, -250.344
-0.68, -246.503
-0.68, -239.636
-0.68, -239.765
-0.68, -244.066
-0.68, -240.154
-0.68, -240.826
-0.68, -237.565
-0.68, -242.336
-0.68, -246.343
-0.68, -237.269
-0.66, -244.738
-0.66, -236.155
-0.66, -252.454
-0.66, -240.522
-0.66, -231.602
-0.66, -235.384
-0.66, -244.963
-0.66, -235.842
-0.66, -228.938
-0.66, -232.754
-0.66, -236.911
-0.66, -232.714
-0.66, -241.437
-0.66, -238.265
-0.66, -240.413
-0.66, -244.156
-0.66, -228.291
-0.66, -241.787
-0.66, -239.528
-0.66, -243.087
-0.66, -233.1
-0.66, -248.409
